Title,"HE student enrolments by HE provider, domicile, level of study, mode of study and country of HE provider",,,,,,
Location,UK,,,,,,
Academic years,2021/22,,,,,,
Data source,HESA,,,,,,
Data collection,"051,054",,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb265/figure-7,,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb265/figure-7.csv,,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,,
Code page,Unicode UTF-8,,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,,
2021/22 total,2862620,,,,,,
,,,,,,,
Last updated,Jan-23,,,,,,
,,,,,,,
UKPRN,HE provider,Level of study,Mode of study,Country of HE provider,Region of HE provider,Domicile,Number
10022047,Empire College London Limited,All undergraduate,All,All,London,Non-European Union,0
10022047,Empire College London Limited,All undergraduate,All,All,London,England,180
10022047,Empire College London Limited,All undergraduate,All,All,London,Wales,0
10022047,Empire College London Limited,All undergraduate,All,All,London,Scotland,0
10022047,Empire College London Limited,All undergraduate,All,All,London,Northern Ireland,0
10022047,Empire College London Limited,All undergraduate,All,All,London,Other UK,0
10022047,Empire College London Limited,All undergraduate,All,All,London,Total UK,180
10022047,Empire College London Limited,All undergraduate,All,All,London,Total Non-UK,0
10022047,Empire College London Limited,All undergraduate,All,All,London,Not known,0
10022047,Empire College London Limited,All undergraduate,All,All,London,Total,180
10022047,Empire College London Limited,All undergraduate,All,All,London,European Union,0
10022047,Empire College London Limited,All undergraduate,All,England,All,Non-European Union,0
10022047,Empire College London Limited,All undergraduate,All,England,All,England,180
10022047,Empire College London Limited,All undergraduate,All,England,All,Wales,0
10022047,Empire College London Limited,All undergraduate,All,England,All,Scotland,0
10022047,Empire College London Limited,All undergraduate,All,England,All,Northern Ireland,0
10022047,Empire College London Limited,All undergraduate,All,England,All,Other UK,0
10022047,Empire College London Limited,All undergraduate,All,England,All,Total UK,180
10022047,Empire College London Limited,All undergraduate,All,England,All,Total Non-UK,0
10022047,Empire College London Limited,All undergraduate,All,England,All,Not known,0
10022047,Empire College London Limited,All undergraduate,All,England,All,Total,180
10022047,Empire College London Limited,All undergraduate,All,England,All,European Union,0
10022047,Empire College London Limited,All undergraduate,All,England,London,Non-European Union,0
10022047,Empire College London Limited,All undergraduate,All,England,London,England,180
10022047,Empire College London Limited,All undergraduate,All,England,London,Wales,0
10022047,Empire College London Limited,All undergraduate,All,England,London,Scotland,0
10022047,Empire College London Limited,All undergraduate,All,England,London,Northern Ireland,0
10022047,Empire College London Limited,All undergraduate,All,England,London,Other UK,0
10022047,Empire College London Limited,All undergraduate,All,England,London,Total UK,180
10022047,Empire College London Limited,All undergraduate,All,England,London,Total Non-UK,0
10022047,Empire College London Limited,All undergraduate,All,England,London,Not known,0
10022047,Empire College London Limited,All undergraduate,All,England,London,Total,180
10022047,Empire College London Limited,All undergraduate,All,England,London,European Union,0
10022047,Empire College London Limited,All undergraduate,Full-time,All,All,Non-European Union,0
10022047,Empire College London Limited,All undergraduate,Full-time,All,All,England,180
10022047,Empire College London Limited,All undergraduate,Full-time,All,All,Wales,0
10022047,Empire College London Limited,All undergraduate,Full-time,All,All,Scotland,0
10022047,Empire College London Limited,All undergraduate,Full-time,All,All,Northern Ireland,0
10022047,Empire College London Limited,All undergraduate,Full-time,All,All,Other UK,0
10022047,Empire College London Limited,All undergraduate,Full-time,All,All,Total UK,180
10022047,Empire College London Limited,All undergraduate,Full-time,All,All,Total Non-UK,0
10022047,Empire College London Limited,All undergraduate,Full-time,All,All,Not known,0
10022047,Empire College London Limited,All undergraduate,Full-time,All,All,Total,180
10022047,Empire College London Limited,All undergraduate,Full-time,All,All,European Union,0
10022047,Empire College London Limited,All undergraduate,Full-time,All,London,Non-European Union,0
10022047,Empire College London Limited,All undergraduate,Full-time,All,London,England,180
10022047,Empire College London Limited,All undergraduate,Full-time,All,London,Wales,0
10022047,Empire College London Limited,All undergraduate,Full-time,All,London,Scotland,0
10022047,Empire College London Limited,All undergraduate,Full-time,All,London,Northern Ireland,0
10022047,Empire College London Limited,All undergraduate,Full-time,All,London,Other UK,0
10022047,Empire College London Limited,All undergraduate,Full-time,All,London,Total UK,180
10022047,Empire College London Limited,All undergraduate,Full-time,All,London,Total Non-UK,0
10022047,Empire College London Limited,All undergraduate,Full-time,All,London,Not known,0
10022047,Empire College London Limited,All undergraduate,Full-time,All,London,Total,180
10022047,Empire College London Limited,All undergraduate,Full-time,All,London,European Union,0
10022047,Empire College London Limited,All undergraduate,Full-time,England,All,Non-European Union,0
10022047,Empire College London Limited,All undergraduate,Full-time,England,All,England,180
10022047,Empire College London Limited,All undergraduate,Full-time,England,All,Wales,0
10022047,Empire College London Limited,All undergraduate,Full-time,England,All,Scotland,0
10022047,Empire College London Limited,All undergraduate,Full-time,England,All,Northern Ireland,0
10022047,Empire College London Limited,All undergraduate,Full-time,England,All,Other UK,0
10022047,Empire College London Limited,All undergraduate,Full-time,England,All,Total UK,180
10022047,Empire College London Limited,All undergraduate,Full-time,England,All,Total Non-UK,0
10022047,Empire College London Limited,All undergraduate,Full-time,England,All,Not known,0
10022047,Empire College London Limited,All undergraduate,Full-time,England,All,Total,180
10022047,Empire College London Limited,All undergraduate,Full-time,England,All,European Union,0
10022047,Empire College London Limited,All undergraduate,Full-time,England,London,Non-European Union,0
10022047,Empire College London Limited,All undergraduate,Full-time,England,London,England,180
10022047,Empire College London Limited,All undergraduate,Full-time,England,London,Wales,0
10022047,Empire College London Limited,All undergraduate,Full-time,England,London,Scotland,0
10022047,Empire College London Limited,All undergraduate,Full-time,England,London,Northern Ireland,0
10022047,Empire College London Limited,All undergraduate,Full-time,England,London,Other UK,0
10022047,Empire College London Limited,All undergraduate,Full-time,England,London,Total UK,180
10022047,Empire College London Limited,All undergraduate,Full-time,England,London,Total Non-UK,0
10022047,Empire College London Limited,All undergraduate,Full-time,England,London,Not known,0
10022047,Empire College London Limited,All undergraduate,Full-time,England,London,Total,180
10022047,Empire College London Limited,All undergraduate,Full-time,England,London,European Union,0
10007791,The University of Essex,All,All,All,All,Non-European Union,4290
10007791,The University of Essex,All,All,All,All,England,11980
10007791,The University of Essex,All,All,All,All,Wales,80
10007791,The University of Essex,All,All,All,All,Scotland,45
10007791,The University of Essex,All,All,All,All,Northern Ireland,65
10007791,The University of Essex,All,All,All,All,Other UK,35
10007791,The University of Essex,All,All,All,All,Total UK,12205
10007791,The University of Essex,All,All,All,All,Total Non-UK,5905
10007791,The University of Essex,All,All,All,All,Not known,0
10007791,The University of Essex,All,All,All,All,Total,18110
10007791,The University of Essex,All,All,All,All,European Union,1615
10007791,The University of Essex,All,All,All,East of England,Non-European Union,4290
10007791,The University of Essex,All,All,All,East of England,England,11980
10007791,The University of Essex,All,All,All,East of England,Wales,80
10007791,The University of Essex,All,All,All,East of England,Scotland,45
10007791,The University of Essex,All,All,All,East of England,Northern Ireland,65
10007791,The University of Essex,All,All,All,East of England,Other UK,35
10007791,The University of Essex,All,All,All,East of England,Total UK,12205
10007791,The University of Essex,All,All,All,East of England,Total Non-UK,5905
10007791,The University of Essex,All,All,All,East of England,Not known,0
10007791,The University of Essex,All,All,All,East of England,Total,18110
10007791,The University of Essex,All,All,All,East of England,European Union,1615
10007791,The University of Essex,All,All,England,All,Non-European Union,4290
10007791,The University of Essex,All,All,England,All,England,11980
10007791,The University of Essex,All,All,England,All,Wales,80
10007791,The University of Essex,All,All,England,All,Scotland,45
10007791,The University of Essex,All,All,England,All,Northern Ireland,65
10007791,The University of Essex,All,All,England,All,Other UK,35
10007791,The University of Essex,All,All,England,All,Total UK,12205
10007791,The University of Essex,All,All,England,All,Total Non-UK,5905
10007791,The University of Essex,All,All,England,All,Not known,0
10007791,The University of Essex,All,All,England,All,Total,18110
10007791,The University of Essex,All,All,England,All,European Union,1615
10007791,The University of Essex,All,All,England,East of England,Non-European Union,4290
10007791,The University of Essex,All,All,England,East of England,England,11980
10007791,The University of Essex,All,All,England,East of England,Wales,80
10007791,The University of Essex,All,All,England,East of England,Scotland,45
10007791,The University of Essex,All,All,England,East of England,Northern Ireland,65
10007791,The University of Essex,All,All,England,East of England,Other UK,35
10007791,The University of Essex,All,All,England,East of England,Total UK,12205
10007791,The University of Essex,All,All,England,East of England,Total Non-UK,5905
10007791,The University of Essex,All,All,England,East of England,Not known,0
10007791,The University of Essex,All,All,England,East of England,Total,18110
10007791,The University of Essex,All,All,England,East of England,European Union,1615
10007791,The University of Essex,All,Full-time,All,All,Non-European Union,4150
10007791,The University of Essex,All,Full-time,All,All,England,9880
10007791,The University of Essex,All,Full-time,All,All,Wales,70
10007791,The University of Essex,All,Full-time,All,All,Scotland,35
10007791,The University of Essex,All,Full-time,All,All,Northern Ireland,40
10007791,The University of Essex,All,Full-time,All,All,Other UK,25
10007791,The University of Essex,All,Full-time,All,All,Total UK,10045
10007791,The University of Essex,All,Full-time,All,All,Total Non-UK,5650
10007791,The University of Essex,All,Full-time,All,All,Not known,0
10007791,The University of Essex,All,Full-time,All,All,Total,15695
10007791,The University of Essex,All,Full-time,All,All,European Union,1500
10007791,The University of Essex,All,Full-time,All,East of England,Non-European Union,4150
10007791,The University of Essex,All,Full-time,All,East of England,England,9880
10007791,The University of Essex,All,Full-time,All,East of England,Wales,70
10007791,The University of Essex,All,Full-time,All,East of England,Scotland,35
10007791,The University of Essex,All,Full-time,All,East of England,Northern Ireland,40
10007791,The University of Essex,All,Full-time,All,East of England,Other UK,25
10007791,The University of Essex,All,Full-time,All,East of England,Total UK,10045
10007791,The University of Essex,All,Full-time,All,East of England,Total Non-UK,5650
10007791,The University of Essex,All,Full-time,All,East of England,Not known,0
10007791,The University of Essex,All,Full-time,All,East of England,Total,15695
10007791,The University of Essex,All,Full-time,All,East of England,European Union,1500
10007791,The University of Essex,All,Full-time,England,All,Non-European Union,4150
10007791,The University of Essex,All,Full-time,England,All,England,9880
10007791,The University of Essex,All,Full-time,England,All,Wales,70
10007791,The University of Essex,All,Full-time,England,All,Scotland,35
10007791,The University of Essex,All,Full-time,England,All,Northern Ireland,40
10007791,The University of Essex,All,Full-time,England,All,Other UK,25
10007791,The University of Essex,All,Full-time,England,All,Total UK,10045
10007791,The University of Essex,All,Full-time,England,All,Total Non-UK,5650
10007791,The University of Essex,All,Full-time,England,All,Not known,0
10007791,The University of Essex,All,Full-time,England,All,Total,15695
10007791,The University of Essex,All,Full-time,England,All,European Union,1500
10007791,The University of Essex,All,Full-time,England,East of England,Non-European Union,4150
10007791,The University of Essex,All,Full-time,England,East of England,England,9880
10007791,The University of Essex,All,Full-time,England,East of England,Wales,70
10007791,The University of Essex,All,Full-time,England,East of England,Scotland,35
10007791,The University of Essex,All,Full-time,England,East of England,Northern Ireland,40
10007791,The University of Essex,All,Full-time,England,East of England,Other UK,25
10007791,The University of Essex,All,Full-time,England,East of England,Total UK,10045
10007791,The University of Essex,All,Full-time,England,East of England,Total Non-UK,5650
10007791,The University of Essex,All,Full-time,England,East of England,Not known,0
10007791,The University of Essex,All,Full-time,England,East of England,Total,15695
10007791,The University of Essex,All,Full-time,England,East of England,European Union,1500
10007791,The University of Essex,All,Part-time,All,All,Non-European Union,140
10007791,The University of Essex,All,Part-time,All,All,England,2100
10007791,The University of Essex,All,Part-time,All,All,Wales,10
10007791,The University of Essex,All,Part-time,All,All,Scotland,10
10007791,The University of Essex,All,Part-time,All,All,Northern Ireland,30
10007791,The University of Essex,All,Part-time,All,All,Other UK,15
10007791,The University of Essex,All,Part-time,All,All,Total UK,2160
10007791,The University of Essex,All,Part-time,All,All,Total Non-UK,255
10007791,The University of Essex,All,Part-time,All,All,Not known,0
10007791,The University of Essex,All,Part-time,All,All,Total,2415
10007791,The University of Essex,All,Part-time,All,All,European Union,115
10007791,The University of Essex,All,Part-time,All,East of England,Non-European Union,140
10007791,The University of Essex,All,Part-time,All,East of England,England,2100
10007791,The University of Essex,All,Part-time,All,East of England,Wales,10
10007791,The University of Essex,All,Part-time,All,East of England,Scotland,10
10007791,The University of Essex,All,Part-time,All,East of England,Northern Ireland,30
10007791,The University of Essex,All,Part-time,All,East of England,Other UK,15
10007791,The University of Essex,All,Part-time,All,East of England,Total UK,2160
10007791,The University of Essex,All,Part-time,All,East of England,Total Non-UK,255
10007791,The University of Essex,All,Part-time,All,East of England,Not known,0
10007791,The University of Essex,All,Part-time,All,East of England,Total,2415
10007791,The University of Essex,All,Part-time,All,East of England,European Union,115
10007791,The University of Essex,All,Part-time,England,All,Non-European Union,140
10007791,The University of Essex,All,Part-time,England,All,England,2100
10007791,The University of Essex,All,Part-time,England,All,Wales,10
10007791,The University of Essex,All,Part-time,England,All,Scotland,10
10007791,The University of Essex,All,Part-time,England,All,Northern Ireland,30
10007791,The University of Essex,All,Part-time,England,All,Other UK,15
10007791,The University of Essex,All,Part-time,England,All,Total UK,2160
10007791,The University of Essex,All,Part-time,England,All,Total Non-UK,255
10007791,The University of Essex,All,Part-time,England,All,Not known,0
10007791,The University of Essex,All,Part-time,England,All,Total,2415
10007791,The University of Essex,All,Part-time,England,All,European Union,115
10007791,The University of Essex,All,Part-time,England,East of England,Non-European Union,140
10007791,The University of Essex,All,Part-time,England,East of England,England,2100
10007791,The University of Essex,All,Part-time,England,East of England,Wales,10
10007791,The University of Essex,All,Part-time,England,East of England,Scotland,10
10007791,The University of Essex,All,Part-time,England,East of England,Northern Ireland,30
10007791,The University of Essex,All,Part-time,England,East of England,Other UK,15
10007791,The University of Essex,All,Part-time,England,East of England,Total UK,2160
10007791,The University of Essex,All,Part-time,England,East of England,Total Non-UK,255
10007791,The University of Essex,All,Part-time,England,East of England,Not known,0
10007791,The University of Essex,All,Part-time,England,East of England,Total,2415
10007791,The University of Essex,All,Part-time,England,East of England,European Union,115
10007791,The University of Essex,Postgraduate (research),Full-time,England,East of England,Non-European Union,205
10007791,The University of Essex,Postgraduate (research),Full-time,England,East of England,England,365
10007791,The University of Essex,Postgraduate (research),Full-time,England,East of England,Wales,0
10007791,The University of Essex,Postgraduate (research),Full-time,England,East of England,Scotland,0
10007791,The University of Essex,Postgraduate (research),Full-time,England,East of England,Northern Ireland,5
10007791,The University of Essex,Postgraduate (research),Full-time,England,East of England,Other UK,5
10007791,The University of Essex,Postgraduate (research),Full-time,England,East of England,Total UK,380
10007791,The University of Essex,Postgraduate (research),Full-time,England,East of England,Total Non-UK,240
10007791,The University of Essex,Postgraduate (research),Full-time,England,East of England,Not known,0
10007791,The University of Essex,Postgraduate (research),Full-time,England,East of England,Total,620
10007791,The University of Essex,Postgraduate (research),Full-time,England,East of England,European Union,35
10007791,The University of Essex,Postgraduate (research),Part-time,England,East of England,Non-European Union,20
10007791,The University of Essex,Postgraduate (research),Part-time,England,East of England,England,195
10007791,The University of Essex,Postgraduate (research),Part-time,England,East of England,Wales,0
10007791,The University of Essex,Postgraduate (research),Part-time,England,East of England,Scotland,5
10007791,The University of Essex,Postgraduate (research),Part-time,England,East of England,Northern Ireland,0
10007791,The University of Essex,Postgraduate (research),Part-time,England,East of England,Other UK,0
10007791,The University of Essex,Postgraduate (research),Part-time,England,East of England,Total UK,205
10007791,The University of Essex,Postgraduate (research),Part-time,England,East of England,Total Non-UK,50
10007791,The University of Essex,Postgraduate (research),Part-time,England,East of England,Not known,0
10007791,The University of Essex,Postgraduate (research),Part-time,England,East of England,Total,255
10007791,The University of Essex,Postgraduate (research),Part-time,England,East of England,European Union,30
10007791,The University of Essex,Postgraduate (research),All,England,East of England,Non-European Union,225
10007791,The University of Essex,Postgraduate (research),All,England,East of England,England,565
10007791,The University of Essex,Postgraduate (research),All,England,East of England,Wales,5
10007791,The University of Essex,Postgraduate (research),All,England,East of England,Scotland,5
10007791,The University of Essex,Postgraduate (research),All,England,East of England,Northern Ireland,5
10007791,The University of Essex,Postgraduate (research),All,England,East of England,Other UK,5
10007791,The University of Essex,Postgraduate (research),All,England,East of England,Total UK,585
10007791,The University of Essex,Postgraduate (research),All,England,East of England,Total Non-UK,290
10007791,The University of Essex,Postgraduate (research),All,England,East of England,Not known,0
10007791,The University of Essex,Postgraduate (research),All,England,East of England,Total,875
10007791,The University of Essex,Postgraduate (research),All,England,East of England,European Union,65
10007791,The University of Essex,Postgraduate (research),All,All,East of England,Non-European Union,225
10007791,The University of Essex,Postgraduate (research),All,All,East of England,England,565
10007791,The University of Essex,Postgraduate (research),All,All,East of England,Wales,5
10007791,The University of Essex,Postgraduate (research),All,All,East of England,Scotland,5
10007791,The University of Essex,Postgraduate (research),All,All,East of England,Northern Ireland,5
10007791,The University of Essex,Postgraduate (research),All,All,East of England,Other UK,5
10007791,The University of Essex,Postgraduate (research),All,All,East of England,Total UK,585
10007791,The University of Essex,Postgraduate (research),All,All,East of England,Total Non-UK,290
10007791,The University of Essex,Postgraduate (research),All,All,East of England,Not known,0
10007791,The University of Essex,Postgraduate (research),All,All,East of England,Total,875
10007791,The University of Essex,Postgraduate (research),All,All,East of England,European Union,65
10007791,The University of Essex,Postgraduate (research),Full-time,All,East of England,Non-European Union,205
10007791,The University of Essex,Postgraduate (research),Full-time,All,East of England,England,365
10007791,The University of Essex,Postgraduate (research),Full-time,All,East of England,Wales,0
10007791,The University of Essex,Postgraduate (research),Full-time,All,East of England,Scotland,0
10007791,The University of Essex,Postgraduate (research),Full-time,All,East of England,Northern Ireland,5
10007791,The University of Essex,Postgraduate (research),Full-time,All,East of England,Other UK,5
10007791,The University of Essex,Postgraduate (research),Full-time,All,East of England,Total UK,380
10007791,The University of Essex,Postgraduate (research),Full-time,All,East of England,Total Non-UK,240
10007791,The University of Essex,Postgraduate (research),Full-time,All,East of England,Not known,0
10007791,The University of Essex,Postgraduate (research),Full-time,All,East of England,Total,620
10007791,The University of Essex,Postgraduate (research),Full-time,All,East of England,European Union,35
10007791,The University of Essex,Postgraduate (research),Part-time,All,East of England,Non-European Union,20
10007791,The University of Essex,Postgraduate (research),Part-time,All,East of England,England,195
10007791,The University of Essex,Postgraduate (research),Part-time,All,East of England,Wales,0
10007791,The University of Essex,Postgraduate (research),Part-time,All,East of England,Scotland,5
10007791,The University of Essex,Postgraduate (research),Part-time,All,East of England,Northern Ireland,0
10007791,The University of Essex,Postgraduate (research),Part-time,All,East of England,Other UK,0
10007791,The University of Essex,Postgraduate (research),Part-time,All,East of England,Total UK,205
10007791,The University of Essex,Postgraduate (research),Part-time,All,East of England,Total Non-UK,50
10007791,The University of Essex,Postgraduate (research),Part-time,All,East of England,Not known,0
10007791,The University of Essex,Postgraduate (research),Part-time,All,East of England,Total,255
10007791,The University of Essex,Postgraduate (research),Part-time,All,East of England,European Union,30
10007791,The University of Essex,Postgraduate (research),All,All,All,Non-European Union,225
10007791,The University of Essex,Postgraduate (research),All,All,All,England,565
10007791,The University of Essex,Postgraduate (research),All,All,All,Wales,5
10007791,The University of Essex,Postgraduate (research),All,All,All,Scotland,5
10007791,The University of Essex,Postgraduate (research),All,All,All,Northern Ireland,5
10007791,The University of Essex,Postgraduate (research),All,All,All,Other UK,5
10007791,The University of Essex,Postgraduate (research),All,All,All,Total UK,585
10007791,The University of Essex,Postgraduate (research),All,All,All,Total Non-UK,290
10007791,The University of Essex,Postgraduate (research),All,All,All,Not known,0
10007791,The University of Essex,Postgraduate (research),All,All,All,Total,875
10007791,The University of Essex,Postgraduate (research),All,All,All,European Union,65
10007791,The University of Essex,Postgraduate (research),All,England,All,Non-European Union,225
10007791,The University of Essex,Postgraduate (research),All,England,All,England,565
10007791,The University of Essex,Postgraduate (research),All,England,All,Wales,5
10007791,The University of Essex,Postgraduate (research),All,England,All,Scotland,5
10007791,The University of Essex,Postgraduate (research),All,England,All,Northern Ireland,5
10007791,The University of Essex,Postgraduate (research),All,England,All,Other UK,5
10007791,The University of Essex,Postgraduate (research),All,England,All,Total UK,585
10007791,The University of Essex,Postgraduate (research),All,England,All,Total Non-UK,290
10007791,The University of Essex,Postgraduate (research),All,England,All,Not known,0
10007791,The University of Essex,Postgraduate (research),All,England,All,Total,875
10007791,The University of Essex,Postgraduate (research),All,England,All,European Union,65
10007791,The University of Essex,Postgraduate (research),Full-time,All,All,Non-European Union,205
10007791,The University of Essex,Postgraduate (research),Full-time,All,All,England,365
10007791,The University of Essex,Postgraduate (research),Full-time,All,All,Wales,0
10007791,The University of Essex,Postgraduate (research),Full-time,All,All,Scotland,0
10007791,The University of Essex,Postgraduate (research),Full-time,All,All,Northern Ireland,5
10007791,The University of Essex,Postgraduate (research),Full-time,All,All,Other UK,5
10007791,The University of Essex,Postgraduate (research),Full-time,All,All,Total UK,380
10007791,The University of Essex,Postgraduate (research),Full-time,All,All,Total Non-UK,240
10007791,The University of Essex,Postgraduate (research),Full-time,All,All,Not known,0
10007791,The University of Essex,Postgraduate (research),Full-time,All,All,Total,620
10007791,The University of Essex,Postgraduate (research),Full-time,All,All,European Union,35
10007791,The University of Essex,Postgraduate (research),Full-time,England,All,Non-European Union,205
10007791,The University of Essex,Postgraduate (research),Full-time,England,All,England,365
10007791,The University of Essex,Postgraduate (research),Full-time,England,All,Wales,0
10007791,The University of Essex,Postgraduate (research),Full-time,England,All,Scotland,0
10007791,The University of Essex,Postgraduate (research),Full-time,England,All,Northern Ireland,5
10007791,The University of Essex,Postgraduate (research),Full-time,England,All,Other UK,5
10007791,The University of Essex,Postgraduate (research),Full-time,England,All,Total UK,380
10007791,The University of Essex,Postgraduate (research),Full-time,England,All,Total Non-UK,240
10007791,The University of Essex,Postgraduate (research),Full-time,England,All,Not known,0
10007791,The University of Essex,Postgraduate (research),Full-time,England,All,Total,620
10007791,The University of Essex,Postgraduate (research),Full-time,England,All,European Union,35
10007791,The University of Essex,Postgraduate (research),Part-time,All,All,Non-European Union,20
10007791,The University of Essex,Postgraduate (research),Part-time,All,All,England,195
10007791,The University of Essex,Postgraduate (research),Part-time,All,All,Wales,0
10007791,The University of Essex,Postgraduate (research),Part-time,All,All,Scotland,5
10007791,The University of Essex,Postgraduate (research),Part-time,All,All,Northern Ireland,0
10007791,The University of Essex,Postgraduate (research),Part-time,All,All,Other UK,0
10007791,The University of Essex,Postgraduate (research),Part-time,All,All,Total UK,205
10007791,The University of Essex,Postgraduate (research),Part-time,All,All,Total Non-UK,50
10007791,The University of Essex,Postgraduate (research),Part-time,All,All,Not known,0
10007791,The University of Essex,Postgraduate (research),Part-time,All,All,Total,255
10007791,The University of Essex,Postgraduate (research),Part-time,All,All,European Union,30
10007791,The University of Essex,Postgraduate (research),Part-time,England,All,Non-European Union,20
10007791,The University of Essex,Postgraduate (research),Part-time,England,All,England,195
10007791,The University of Essex,Postgraduate (research),Part-time,England,All,Wales,0
10007791,The University of Essex,Postgraduate (research),Part-time,England,All,Scotland,5
10007791,The University of Essex,Postgraduate (research),Part-time,England,All,Northern Ireland,0
10007791,The University of Essex,Postgraduate (research),Part-time,England,All,Other UK,0
10007791,The University of Essex,Postgraduate (research),Part-time,England,All,Total UK,205
10007791,The University of Essex,Postgraduate (research),Part-time,England,All,Total Non-UK,50
10007791,The University of Essex,Postgraduate (research),Part-time,England,All,Not known,0
10007791,The University of Essex,Postgraduate (research),Part-time,England,All,Total,255
10007791,The University of Essex,Postgraduate (research),Part-time,England,All,European Union,30
10007791,The University of Essex,Postgraduate (taught),Full-time,England,East of England,Non-European Union,2225
10007791,The University of Essex,Postgraduate (taught),Full-time,England,East of England,England,670
10007791,The University of Essex,Postgraduate (taught),Full-time,England,East of England,Wales,5
10007791,The University of Essex,Postgraduate (taught),Full-time,England,East of England,Scotland,5
10007791,The University of Essex,Postgraduate (taught),Full-time,England,East of England,Northern Ireland,5
10007791,The University of Essex,Postgraduate (taught),Full-time,England,East of England,Other UK,5
10007791,The University of Essex,Postgraduate (taught),Full-time,England,East of England,Total UK,685
10007791,The University of Essex,Postgraduate (taught),Full-time,England,East of England,Total Non-UK,2295
10007791,The University of Essex,Postgraduate (taught),Full-time,England,East of England,Not known,0
10007791,The University of Essex,Postgraduate (taught),Full-time,England,East of England,Total,2980
10007791,The University of Essex,Postgraduate (taught),Full-time,England,East of England,European Union,70
10007791,The University of Essex,Postgraduate (taught),Part-time,England,East of England,Non-European Union,85
10007791,The University of Essex,Postgraduate (taught),Part-time,England,East of England,England,1410
10007791,The University of Essex,Postgraduate (taught),Part-time,England,East of England,Wales,5
10007791,The University of Essex,Postgraduate (taught),Part-time,England,East of England,Scotland,5
10007791,The University of Essex,Postgraduate (taught),Part-time,England,East of England,Northern Ireland,25
10007791,The University of Essex,Postgraduate (taught),Part-time,England,East of England,Other UK,15
10007791,The University of Essex,Postgraduate (taught),Part-time,England,East of England,Total UK,1465
10007791,The University of Essex,Postgraduate (taught),Part-time,England,East of England,Total Non-UK,135
10007791,The University of Essex,Postgraduate (taught),Part-time,England,East of England,Not known,0
10007791,The University of Essex,Postgraduate (taught),Part-time,England,East of England,Total,1600
10007791,The University of Essex,Postgraduate (taught),Part-time,England,East of England,European Union,50
10007791,The University of Essex,Postgraduate (taught),All,England,East of England,Non-European Union,2305
10007791,The University of Essex,Postgraduate (taught),All,England,East of England,England,2080
10007791,The University of Essex,Postgraduate (taught),All,England,East of England,Wales,10
10007791,The University of Essex,Postgraduate (taught),All,England,East of England,Scotland,10
10007791,The University of Essex,Postgraduate (taught),All,England,East of England,Northern Ireland,30
10007791,The University of Essex,Postgraduate (taught),All,England,East of England,Other UK,20
10007791,The University of Essex,Postgraduate (taught),All,England,East of England,Total UK,2150
10007791,The University of Essex,Postgraduate (taught),All,England,East of England,Total Non-UK,2430
10007791,The University of Essex,Postgraduate (taught),All,England,East of England,Not known,0
10007791,The University of Essex,Postgraduate (taught),All,England,East of England,Total,4575
10007791,The University of Essex,Postgraduate (taught),All,England,East of England,European Union,120
10007791,The University of Essex,Postgraduate (taught),All,All,East of England,Non-European Union,2305
10007791,The University of Essex,Postgraduate (taught),All,All,East of England,England,2080
10007791,The University of Essex,Postgraduate (taught),All,All,East of England,Wales,10
10007791,The University of Essex,Postgraduate (taught),All,All,East of England,Scotland,10
10007791,The University of Essex,Postgraduate (taught),All,All,East of England,Northern Ireland,30
10007791,The University of Essex,Postgraduate (taught),All,All,East of England,Other UK,20
10007791,The University of Essex,Postgraduate (taught),All,All,East of England,Total UK,2150
10007791,The University of Essex,Postgraduate (taught),All,All,East of England,Total Non-UK,2430
10007791,The University of Essex,Postgraduate (taught),All,All,East of England,Not known,0
10007791,The University of Essex,Postgraduate (taught),All,All,East of England,Total,4575
10007791,The University of Essex,Postgraduate (taught),All,All,East of England,European Union,120
10007791,The University of Essex,Postgraduate (taught),Full-time,All,East of England,Non-European Union,2225
10007791,The University of Essex,Postgraduate (taught),Full-time,All,East of England,England,670
10007791,The University of Essex,Postgraduate (taught),Full-time,All,East of England,Wales,5
10007791,The University of Essex,Postgraduate (taught),Full-time,All,East of England,Scotland,5
10007791,The University of Essex,Postgraduate (taught),Full-time,All,East of England,Northern Ireland,5
10007791,The University of Essex,Postgraduate (taught),Full-time,All,East of England,Other UK,5
10007791,The University of Essex,Postgraduate (taught),Full-time,All,East of England,Total UK,685
10007791,The University of Essex,Postgraduate (taught),Full-time,All,East of England,Total Non-UK,2295
10007791,The University of Essex,Postgraduate (taught),Full-time,All,East of England,Not known,0
10007791,The University of Essex,Postgraduate (taught),Full-time,All,East of England,Total,2980
10007791,The University of Essex,Postgraduate (taught),Full-time,All,East of England,European Union,70
10007791,The University of Essex,Postgraduate (taught),Part-time,All,East of England,Non-European Union,85
10007791,The University of Essex,Postgraduate (taught),Part-time,All,East of England,England,1410
10007791,The University of Essex,Postgraduate (taught),Part-time,All,East of England,Wales,5
10007791,The University of Essex,Postgraduate (taught),Part-time,All,East of England,Scotland,5
10007791,The University of Essex,Postgraduate (taught),Part-time,All,East of England,Northern Ireland,25
