Title,"HE student enrolments by HE provider, domicile, level of study, mode of study and country of HE provider",,,,,,
Location,UK,,,,,,
Academic years,2021/22,,,,,,
Data source,HESA,,,,,,
Data collection,"051,054",,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb265/figure-7,,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb265/figure-7.csv,,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,,
Code page,Unicode UTF-8,,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,,
2021/22 total,2862620,,,,,,
,,,,,,,
Last updated,Jan-23,,,,,,
,,,,,,,
UKPRN,HE provider,Level of study,Mode of study,Country of HE provider,Region of HE provider,Domicile,Number
10008071,AA School of Architecture,Postgraduate (taught),All,All,All,European Union,15
10008071,AA School of Architecture,Postgraduate (taught),All,England,All,Non-European Union,395
10008071,AA School of Architecture,Postgraduate (taught),All,England,All,England,30
10008071,AA School of Architecture,Postgraduate (taught),All,England,All,Wales,0
10008071,AA School of Architecture,Postgraduate (taught),All,England,All,Scotland,0
10008071,AA School of Architecture,Postgraduate (taught),All,England,All,Northern Ireland,0
10008071,AA School of Architecture,Postgraduate (taught),All,England,All,Other UK,0
10008071,AA School of Architecture,Postgraduate (taught),All,England,All,Total UK,30
10008071,AA School of Architecture,Postgraduate (taught),All,England,All,Total Non-UK,410
10008071,AA School of Architecture,Postgraduate (taught),All,England,All,Not known,0
10008071,AA School of Architecture,Postgraduate (taught),All,England,All,Total,440
10008071,AA School of Architecture,Postgraduate (taught),All,England,All,European Union,15
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,All,Non-European Union,395
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,All,England,30
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,All,Wales,0
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,All,Scotland,0
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,All,Northern Ireland,0
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,All,Other UK,0
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,All,Total UK,30
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,All,Total Non-UK,410
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,All,Not known,0
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,All,Total,440
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,All,European Union,15
